ID,Nome Apparato,Tipologia,Frazione,Tipo Geometria,Stato / Attivazione Cantiere,Periodo Lavori (Inizio - Fine),Vie Coinvolte,Riferimento Ordinanza Comunale,Latitudine,Longitudine,Quota (m s.l.m.),Lunghezza (m),Lunghezza (km),Superficie (m²),Superficie (km²),Note Tecniche e Dettagli sul Campo,Link Google Maps,Link Ordinanza PDF
0C11108026419D776229,Cantiere 1 (14/09-02/10),Cantiere FTTH (Attivazione Imminente),Collesalvetti,LineString,IMMINENTE,2026-09-14 -> 2026-10-02,"Via Nenni, Via Roma (rotatoria Via Nenni), Via del Valico a Pisa, Via di Cerretello",Ordinanza P.M. n. 88 del 02/09/2026 (Reg. Gen. 95),43.591353,10.473372,,1096.2,1.096,,,"Cantiere FTTH FiberCop Collesalvetti (Ord. 95/2026 del 02/09/2026). Vie: Via Nenni, Via Roma, Via del Valico a Pisa, Via di Cerretello.","https://www.google.com/maps?q=43.591353,10.473372",ordinanze/ordinanza_95_2026_collesalvetti_cantiere1.pdf
0D01C4A3D9419D77F4F8,Cantiere 1 (14/09-02/10),Cantiere FTTH (Attivazione Imminente),Collesalvetti,LineString,IMMINENTE,2026-09-14 -> 2026-10-02,"Via Nenni, Via Roma (rotatoria Via Nenni), Via del Valico a Pisa, Via di Cerretello",Ordinanza P.M. n. 88 del 02/09/2026 (Reg. Gen. 95),43.595559,10.477378,,325.2,0.325,,,"Cantiere FTTH FiberCop Collesalvetti (Ord. 95/2026 del 02/09/2026). Vie: Via Nenni, Via Roma, Via del Valico a Pisa, Via di Cerretello.","https://www.google.com/maps?q=43.595559,10.477378",ordinanze/ordinanza_95_2026_collesalvetti_cantiere1.pdf
038A8E74E7419D783FA8,C [01] ARL,ARL (Rame),Collesalvetti,Point,,,,,43.595685,10.474887,14.3,,,,,Colonnina e-distribuzione | Apparato supplementare | Tombini Telecom e TIM vicini,"https://www.google.com/maps?q=43.595685,10.474887",
0D4F245AFD419D79C210,C [02] ARL,ARL (Rame),Collesalvetti,Point,,,,,43.591096,10.475529,25.8,,,,,Colonnina e-distribuzione | Apparato aggiuntivo | Tombino Telecom datato,"https://www.google.com/maps?q=43.591096,10.475529",
0F23EA90BA419D7FECB9,C [04] ARL,ARL (Rame),Collesalvetti,Point,,,,,43.588583,10.473953,21.4,,,,,Solo ARL,"https://www.google.com/maps?q=43.588583,10.473953",
0F8841432F419D838E0B,C [9605] ARL,ARL (Rame),Collesalvetti,Point,,,,,43.588526,10.472213,23.0,,,,,Solo ARL,"https://www.google.com/maps?q=43.588526,10.472213",
030934D8B9419D824C48,C [9606] ARL,ARL (Rame),Collesalvetti,Point,,,,,43.58851,10.47337,26.4,,,,,Colonnina e-distribuzione,"https://www.google.com/maps?q=43.58851,10.47337",
0C1639DB3D41C037B01F,C [07] ARL,ARL (Rame),Collesalvetti,Point,,,,,43.593381,10.471502,13.0,,,,,Colonnina e-distribuzione,"https://www.google.com/maps?q=43.593381,10.471502",
051EB54D5C419D7EA6D4,C [08] ARL,ARL (Rame),Collesalvetti,Point,,,,,43.587389,10.476109,47.0,,,,,Solo ARL | NUMERO DA VERIFICARE IRL,"https://www.google.com/maps?q=43.587389,10.476109",
06A6E2BD72419DA42506,V [01] ARL,ARL (Rame),Vicarello,Point,,,,,43.615979,10.463939,8.9,,,,,Piccolo apparato e-distribuzione appeso allo SLAM,"https://www.google.com/maps?q=43.615979,10.463939",
0698C7718E419DA0FA44,V [02] ARL,ARL (Rame),Vicarello,Point,,,,,43.614158,10.464706,8.3,,,,,Colonnina e-distribuzione | Apparato aggiuntivo | Tombini TIM e INWIT,"https://www.google.com/maps?q=43.614158,10.464706",
0ECF9F5C0F419DA225A1,V [03] ARL,ARL (Rame),Vicarello,Point,,,,,43.611401,10.462766,7.2,,,,,Colonnina e-distribuzione,"https://www.google.com/maps?q=43.611401,10.462766",
0305AC62A2419D9EC684,V [04] ARL,ARL (Rame),Vicarello,Point,,,,,43.611423,10.467038,9.4,,,,,Colonnina e-distribuzione,"https://www.google.com/maps?q=43.611423,10.467038",
0047495E12419D9FD2E4,V [05] ARL,ARL (Rame),Vicarello,Point,,,,,43.608954,10.468205,9.9,,,,,Solo ARL | NUOVO DAL 2025,"https://www.google.com/maps?q=43.608954,10.468205",
0E749B0B68419D9E6D0F,V [06] ARL,ARL (Rame),Vicarello,Point,,,,,43.607712,10.469103,20.1,,,,,Colonnina e-distribuzione,"https://www.google.com/maps?q=43.607712,10.469103",
0EE4D73D73419DA346CF,V [07] ARL,ARL (Rame),Vicarello,Point,,,,,43.60849,10.459436,8.1,,,,,Colonnina e-distribuzione,"https://www.google.com/maps?q=43.60849,10.459436",
086A77D7C1419DA6C13B,V [08] ARL,ARL (Rame),Vicarello,Point,,,,,43.605143,10.440451,6.2,,,,,Colonnina e-distribuzione,"https://www.google.com/maps?q=43.605143,10.440451",
073CCE441A419DEDF933,S [0?] ARLO,ARLO (Ottico FiberCop),Stagno,Point,,,,,43.590687,10.35622,9.2,,,,,,"https://www.google.com/maps?q=43.590687,10.35622",
0B539CBC0B41A1D9DE66,S [02] ARL,ARL (Rame),Stagno,Point,,,,,43.592438,10.350568,2.5,,,,,Con apparato aggiuntivo,"https://www.google.com/maps?q=43.592438,10.350568",
0263F1596941C03C8160,S [04] ARL,ARL (Rame),Stagno,Point,,,,,43.589338,10.353907,5.4,,,,,Colonnina e-distribuzione,"https://www.google.com/maps?q=43.589338,10.353907",
08BC1C303941A1DD1397,S [05] ARL,ARL (Rame),Stagno,Point,,,,,43.590359,10.353377,12.5,,,,,Solo ARL,"https://www.google.com/maps?q=43.590359,10.353377",
0E5AD376F741A1E1369B,S [07] ARL,ARL (Rame),Stagno,Point,,,,,43.589462,10.349117,2.7,,,,,Solo ARL,"https://www.google.com/maps?q=43.589462,10.349117",
0D98E9743941A1DA3CA8,Coppie di corrugati scoperti,Infrastruttura / Corrugati,Altro,Point,,,,,43.591341,10.350005,2.4,,,,,,"https://www.google.com/maps?q=43.591341,10.350005",
017CFF11F041A1FE2121,G [01] ARL,ARL (Rame),Guasticce,Point,,,,,43.597713,10.408314,4.3,,,,,Solo ARL | Tombini TIM vicini,"https://www.google.com/maps?q=43.597713,10.408314",
0D6146352741A1FCE21E,G [02] ARL,ARL (Rame),Guasticce,Point,,,,,43.597372,10.405911,4.9,,,,,Colonnina e-distribuzione,"https://www.google.com/maps?q=43.597372,10.405911",
03D89618D341A1FAF659,G [0?] ARL,ARL (Rame),Guasticce,Point,,,,,43.59665,10.391757,2.8,,,,,Alimentazione e-distribuzione appesa allo SLAM | Da verificare numero IRL,"https://www.google.com/maps?q=43.59665,10.391757",
